1000000033,Pokémon FireRed and LeafGreen,Game Freak,Nintendo,Publicadora 34,Role-Playing Game,10,9.3,29.99,2004,false
1000000034,Pokémon Diamond and Pearl,Game Freak,Nintendo,Publicadora 35,Role-Playing Game,10,9.2,39.99,2006,false
1000000035,Pokémon Platinum,Game Freak,Nintendo,Publicadora 36,Role-Playing Game,10,9.4,39.99,2008,false
1000000036,Pokémon HeartGold and SoulSilver,Game Freak,Nintendo,Publicadora 37,Role-Playing Game,10,9.5,39.99,2009,false
1000000037,Pokémon Black and White,Game Freak,Nintendo,Publicadora 38,Role-Playing Game,10,9.3,39.99,2010,false
1000000038,Pokémon Black 2 and White 2,Game Freak,Nintendo,Publicadora 39,Role-Playing Game,10,9.2,39.99,2012,false
1000000039,Pokémon X and Y,Game Freak,Nintendo,Publicadora 40,Role-Playing Game,10,9.4,39.99,2013,false
1000000040,Pokémon Omega Ruby and Alpha Sapphire,Game Freak,Nintendo,Publicadora 41,Role-Playing Game,10,9.5,39.99,2014,false
1000000041,Pokémon Sun and Moon,Game Freak,Nintendo,Publicadora 42,Role-Playing Game,10,9.4,39.99,2016,false
1000000042,Pokémon Ultra Sun and Ultra Moon,Game Freak,Nintendo,Publicadora 43,Role-Playing Game,10,9.3,39.99,2017,false
1000000043,Pokémon Let's Go, Pikachu! and Let's Go, Eevee!,Game Freak,Nintendo,Publicadora 44,Role-Playing Game,10,9.2,49.99,2018,false
1000000044,Pokémon Sword and Shield,Game Freak,Nintendo,Publicadora 45,Role-Playing Game,10,9.0,59.99,2019,false
1000000045,Pokémon Mystery Dungeon: Rescue Team DX,Spike Chunsoft,Nintendo,Publicadora 46,Dungeon Crawler,10,8.8,59.99,2020,false
1000000046,Pokémon Home,The Pokémon Company,The Pokémon Company,Publicadora 47,Utility,10,8.7,0.00,2020,false
1000000047,Pokémon Café ReMix,The Pokémon Company,The Pokémon Company,Publicadora 48,Puzzle,10,8.5,0.00,2021,false
1000000048,Pokémon Unite,TiMi Studio Group,The Pokémon Company,Publicadora 49,Multiplayer Online Battle Arena,10,8.6,0.00,2021,false
1000000049,New Pokémon Snap,BANDAI NAMCO Entertainment,Nintendo,Publicadora 50,Simulation,10,8.9,59.99,2021,false
1000000050,Pokémon Brilliant Diamond and Shining Pearl,ILCA,Nintendo,Publicadora 51,Role-Playing Game,10,9.0,59.99,2021,false
1000000051,Pokémon Legends: Arceus,Game Freak,Nintendo,Publicadora 52,Role-Playing Game,10,9.2,59.99,2022,false
1000000052,Pokémon Sleep,Select Button,The Pokémon Company,Publicadora 53,Utility,10,8.4,0.00,2022,false
1000000053,Pokémon Café ReMix: Ultimate Collection,The Pokémon Company,The Pokémon Company,Publicadora 54,Puzzle,10,8.7,0.00,2022,false
1000000054,Pokémon Smile,GENIUS SONORITY,The Pokémon Company,Publicadora 55,Utility,10,8.2,0.00,2020,false
1000000055,Pokémon Sleepwalker,Select Button,The Pokémon Company,Publicadora 56,Platformer,10,8.6,0.00,2023,false
1000000056,Pokémon Ranger: Shadows of Almia,HAL Laboratory,Nintendo,Publicadora 57,Action-Adventure,10,8.5,39.99,2008,false
1000000057,Pokémon Conquest,Koei Tecmo,Nintendo,Publicadora 58,Turn-Based Strategy,10,8.3,39.99,2012,false
1000000058,Pokémon Rumble Blast,Ambrella,Nintendo,Publicadora 59,Action,10,8.1,39.99,2011,false
1000000059,Pokémon Mystery Dungeon: Gates to Infinity,Spike Chunsoft,Nintendo,Publicadora 60,Dungeon Crawler,10,8.4,39.99,2012,false
1000000060,Pokémon Super Mystery Dungeon,Spike Chunsoft,Nintendo,Publicadora 61,Dungeon Crawler,10,8.6,39.99,2015,false
1000000061,Pokémon Shuffle,Genius Sonority,Nintendo,Publicadora 62,Puzzle,10,8.2,0.00,2015,false
1000000062,Pokémon Picross,Jupiter Corporation,Nintendo,Publicadora 63,Puzzle,10,8.1,0.00,2015,false
1000000063,Pokémon Duel,Heroz,The Pokémon Company,Publicadora 64,Strategy,10,8.3,0.00,2016,false
1000000064,Pokémon Magikarp Jump,Select Button,The Pokémon Company,Publicadora 65,Casual,10,8.0,0.00,2017,false
1000000065,Pokémon Quest,Game Freak,Nintendo,Publicadora 66,Action-Adventure,10,8.2,0.00,2018,false
1000000066,Pokémon: Let's Go, Pikachu! and Let's Go, Eevee! (DLC),Game Freak,Nintendo,Publicadora 67,Role-Playing Game,10,8.5,19.99,2018,true
1000000067,Pokémon HOME,The Pokémon Company,The Pokémon Company,Publicadora 68,Utility,10,8.3,0.00,2020,false
1000000068,Pokémon Café Mix,Genius Sonority,The Pokémon Company,Publicadora 69,Puzzle,10,8.4,0.00,2020,false
1000000069,Pokémon Smile,GENIUS SONORITY,The Pokémon Company,Publicadora 70,Utility,10,8.2,0.00,2020,false
1000000070,Pokémon UNITE,TiMi Studio Group,The Pokémon Company,Publicadora 71,Multiplayer Online Battle Arena,10,8.6,0.00,2021,false
1000000071,Pokémon Masters EX,DeNA,The Pokémon Company,Publicadora 72,Role-Playing Game,10,8.7,0.00,2019,false
1000000072,Pokémon Café ReMix: Ultimate Collection,The Pokémon Company,The Pokémon Company,Publicadora 73,Puzzle,10,8.7,0.00,2022,false
1000000073,Pokémon Sleep,Select Button,The Pokémon Company,Publicadora 74,Utility,10,8.4,0.00,2022,false
1000000074,Pokémon Battle Trozei,Genius Sonority,Nintendo,Publicadora 75,Puzzle,10,8.2,0.00,2014,false
1000000075,Pokémon Detective Pikachu,Creatures Inc.,The Pokémon Company,Publicadora 76,Adventure,10,8.5,39.99,2018,false
1000000076,Pokémon Quest,Game Freak,Nintendo,Publicadora 77,Action-Adventure,10,8.2,0.00,2018,false
1000000077,Pokémon GO,Niantic,The Pokémon Company,Publicadora 78,Adventure,10,8.9,0.00,2016,false
1000000078,Pokémon Rumble Rush,Ambrella,The Pokémon Company,Publicadora 79,Action,10,8.0,0.00,2019,false
1000000079,Pokémon Café Mix,Genius Sonority,The Pokémon Company,Publicadora 80,Puzzle,10,8.4,0.00,2020,false
1000000080,Pokémon Masters EX,DeNA,The Pokémon Company,Publicadora 81,Role-Playing Game,10,8.7,0.00,2019,false
1000000081,Pokémon Sleep,Select Button,The Pokémon Company,Publicadora 82,Utility,10,8.4,0.00,2022,false
1000000082,Pokémon Café ReMix: Ultimate Collection,The Pokémon Company,The Pokémon Company,Publicadora 83,Puzzle,10,8.7,0.00,2022,false
1000000083,Pokémon GO,Niantic,The Pokémon Company,Publicadora 84,Adventure,10,8.9,0.00,2016,false
1000000084,Pokémon Smile,GENIUS SONORITY,The Pokémon Company,Publicadora 85,Utility,10,8.2,0.00,2020,false
1000000085,Pokémon Quest,Game Freak,Nintendo,Publicadora 86,Action-Adventure,10,8.2,0.00,2018,false
1000000086,Pokémon Rumble Rush,Ambrella,The Pokémon Company,Publicadora 87,Action,10,8.0,0.00,2019,false
1000000087,Pokémon Café Mix,Genius Sonority,The Pokémon Company,Publicadora 88,Puzzle,10,8.4,0.00,2020,false
1000000088,Pokémon Masters EX,DeNA,The Pokémon Company,Publicadora 89,Role-Playing Game,10,8.7,0.00,2019,false
1000000089,Pokémon Sleep,Select Button,The Pokémon Company,Publicadora 90,Utility,10,8.4,0.00,2022,false
1000000090,Pokémon Café ReMix: Ultimate Collection,The Pokémon Company,The Pokémon Company,Publicadora 91,Puzzle,10,8.7,0.00,2022,false
1000000091,Pokémon GO,Niantic,The Pokémon Company,Publicadora 92,Adventure,10,8.9,0.00,2016,false
1000000092,Pokémon Smile,GENIUS SONORITY,The Pokémon Company,Publicadora 93,Utility,10,8.2,0.00,2020,false
1000000093,Pokémon Quest,Game Freak,Nintendo,Publicadora 94,Action-Adventure,10,8.2,0.00,2018,false
1000000094,Pokémon Rumble Rush,Ambrella,The Pokémon Company,Publicadora 95,Action,10,8.0,0.00,2019,false
1000000095,Pokémon Café Mix,Genius Sonority,The Pokémon Company,Publicadora 96,Puzzle,10,8.4,0.00,2020,false
1000000096,Pokémon Masters EX,DeNA,The Pokémon Company,Publicadora 97,Role-Playing Game,10,8.7,0.00,2019,false
1000000097,Pokémon Sleep,Select Button,The Pokémon Company,Publicadora 98,Utility,10,8.4,0.00,2022,false
1000000098,Pokémon Café ReMix: Ultimate Collection,The Pokémon Company,The Pokémon Company,Publicadora 99,Puzzle,10,8.7,0.00,2022,false
1000000099,Pokémon GO,Niantic,The Pokémon Company,Publicadora 100,Adventure,10,8.9,0.00,2016,false
1000000100,Pokémon Smile,GENIUS SONORITY,The Pokémon Company,Publicadora 101,Utility,10,8.2,0.00,2020,false
1000000101,Pokémon Quest,Game Freak,Nintendo,Publicadora 102,Action-Adventure,10,8.2,0.00,2018,false
1000000102,Pokémon Rumble Rush,Ambrella,The Pokémon Company,Publicadora 103,Action,10,8.0,0.00,2019,false
1000000103,Pokémon Café Mix,Genius Sonority,The Pokémon Company,Publicadora 104,Puzzle,10,8.4,0.00,2020,false
1000000104,Pokémon Masters EX,DeNA,The Pokémon Company,Publicadora 105,Role-Playing Game,10,8.7,0.00,2019,false
1000000105,Pokémon Sleep,Select Button,The Pokémon Company,Publicadora 106,Utility,10,8.4,0.00,2022,false
1000000106,Pokémon Café ReMix: Ultimate Collection,The Pokémon Company,The Pokémon Company,Publicadora 107,Puzzle,10,8.7,0.00,2022,false
1000000107,Pokémon GO,Niantic,The Pokémon Company,Publicadora 108,Adventure,10,8.9,0.00,2016,false
1000000108,Pokémon Smile,GENIUS SONORITY,The Pokémon Company,Publicadora 109,Utility,10,8.2,0.00,2020,false
1000000109,Pokémon Quest,Game Freak,Nintendo,Publicadora 110,Action-Adventure,10,8.2,0.00,2018,false
1000000110,Pokémon Rumble Rush,Ambrella,The Pokémon Company,Publicadora 111,Action,10,8.0,0.00,2019,false
1000000111,Pokémon Café Mix,Genius Sonority,The Pokémon Company,Publicadora 112,Puzzle,10,8.4,0.00,2020,false
1000000112,Pokémon Masters EX,DeNA,The Pokémon Company,Publicadora 113,Role-Playing Game,10,8.7,0.00,2019,false
1000000113,Pokémon Sleep,Select Button,The Pokémon Company,Publicadora 114,Utility,10,8.4,0.00,2022,false
1000000114,Pokémon Café ReMix: Ultimate Collection,The Pokémon Company,The Pokémon Company,Publicadora 115,Puzzle,10,8.7,0.00,2022,false
1000000115,Pokémon GO,Niantic,The Pokémon Company,Publicadora 116,Adventure,10,8.9,0.00,2016,false
1000000116,Pokémon Smile,GENIUS SONORITY,The Pokémon Company,Publicadora 117,Utility,10,8.2,0.00,2020,false
1000000117,Pokémon Quest,Game Freak,Nintendo,Publicadora 118,Action-Adventure,10,8.2,0.00,2018,false
1000000118,Pokémon Rumble Rush,Ambrella,The Pokémon Company,Publicadora 119,Action,10,8.0,0.00,2019,false
1000000119,Pokémon Café Mix,Genius Sonority,The Pokémon Company,Publicadora 120,Puzzle,10,8.4,0.00,2020,false
1000000120,Pokémon Masters EX,DeNA,The Pokémon Company,Publicadora 121,Role-Playing Game,10,8.7,0.00,2019,false
