1000000057,Pokémon Conquest,Koei Tecmo,Nintendo,Turn-Based Strategy,10,8.3,39.99,2012,false
1000000058,Pokémon Rumble Blast,Ambrella,Nintendo,Action,10,8.1,39.99,2011,false
1000000059,Pokémon Mystery Dungeon: Gates to Infinity,Spike Chunsoft,Nintendo,Dungeon Crawler,10,8.4,39.99,2012,false
1000000060,Pokémon Super Mystery Dungeon,Spike Chunsoft,Nintendo,Dungeon Crawler,10,8.6,39.99,2015,false
1000000061,Pokémon Shuffle,Genius Sonority,Nintendo,Puzzle,10,8.2,0.00,2015,false
1000000062,Pokémon Picross,Jupiter Corporation,Nintendo,Puzzle,10,8.1,0.00,2015,false
1000000063,Pokémon Duel,Heroz,The Pokémon Company,Strategy,10,8.3,0.00,2016,false
1000000064,Pokémon Magikarp Jump,Select Button,The Pokémon Company,Casual,10,8.0,0.00,2017,false
1000000065,Pokémon Quest,Game Freak,Nintendo,Action-Adventure,10,8.2,0.00,2018,false
1000000066,Pokémon: Universe,Game Freak,Nintendo,Role-Playing Game,10,8.5,19.99,2018,true
1000000067,Pokémon HOME,The Pokémon Company,The Pokémon Company,Utility,10,8.3,0.00,2020,false
1000000068,Pokémon Café Mix,Genius Sonority,The Pokémon Company,Puzzle,10,8.4,0.00,2020,false
1000000069,Pokémon Smile,GENIUS SONORITY,The Pokémon Company,Utility,10,8.2,0.00,2020,false
1000000070,Pokémon UNITE,TiMi Studio Group,The Pokémon Company,Multiplayer Online Battle Arena,10,8.6,0.00,2021,false
1000000071,Pokémon Masters EX,DeNA,The Pokémon Company,Role-Playing Game,10,8.7,0.00,2019,false
1000000072,Pokémon Café ReMix: Ultimate Collection,The Pokémon Company,The Pokémon Company,Puzzle,10,8.7,0.00,2022,false
1000000073,Pokémon Sleep,Select Button,The Pokémon Company,Utility,10,8.4,0.00,2022,false
1000000074,Pokémon Battle Trozei,Genius Sonority,Nintendo,Puzzle,10,8.2,0.00,2014,false
1000000075,Pokémon Detective Pikachu,Creatures Inc.,The Pokémon Company,Adventure,10,8.5,39.99,2018,false
1000000076,Pokémon Quest,Game Freak,Nintendo,Action-Adventure,10,8.2,0.00,2018,false
1000000077,Pokémon GO,Niantic,The Pokémon Company,Adventure,10,8.9,0.00,2016,false
1000000078,Pokémon Rumble Rush,Ambrella,The Pokémon Company,Action,10,8.0,0.00,2019,false
1000000079,Pokémon Café Mix,Genius Sonority,The Pokémon Company,Puzzle,10,8.4,0.00,2020,false
1000000080,Pokémon Masters EX,DeNA,The Pokémon Company,Role-Playing Game,10,8.7,0.00,2019,false
1000000081,Pokémon Sleep,Select Button,The Pokémon Company,Utility,10,8.4,0.00,2022,false
1000000082,Pokémon Café ReMix: Ultimate Collection,The Pokémon Company,The Pokémon Company,Puzzle,10,8.7,0.00,2022,false
1000000083,Pokémon GO,Niantic,The Pokémon Company,Adventure,10,8.9,0.00,2016,false
1000000084,Pokémon Smile,GENIUS SONORITY,The Pokémon Company,Utility,10,8.2,0.00,2020,false
1000000085,Pokémon Quest,Game Freak,Nintendo,Action-Adventure,10,8.2,0.00,2018,false
1000000086,Pokémon Rumble Rush,Ambrella,The Pokémon Company,Action,10,8.0,0.00,2019,false
1000000087,Pokémon Café Mix,Genius Sonority,The Pokémon Company,Puzzle,10,8.4,0.00,2020,false
1000000088,Pokémon Masters EX,DeNA,The Pokémon Company,Role-Playing Game,10,8.7,0.00,2019,false
1000000089,Pokémon Sleep,Select Button,The Pokémon Company,Utility,10,8.4,0.00,2022,false
1000000090,Pokémon Café ReMix: Ultimate Collection,The Pokémon Company,The Pokémon Company,Puzzle,10,8.7,0.00,2022,false
1000000091,Pokémon GO,Niantic,The Pokémon Company,Adventure,10,8.9,0.00,2016,false
1000000092,Pokémon Smile,GENIUS SONORITY,The Pokémon Company,Utility,10,8.2,0.00,2020,false
1000000093,Pokémon Quest,Game Freak,Nintendo,Action-Adventure,10,8.2,0.00,2018,false
1000000094,Pokémon Rumble Rush,Ambrella,The Pokémon Company,Action,10,8.0,0.00,2019,false
1000000095,Pokémon Café Mix,Genius Sonority,The Pokémon Company,Puzzle,10,8.4,0.00,2020,false
1000000096,Pokémon Masters EX,DeNA,The Pokémon Company,Role-Playing Game,10,8.7,0.00,2019,false
1000000097,Pokémon Sleep,Select Button,The Pokémon Company,Utility,10,8.4,0.00,2022,false
1000000098,Pokémon Café ReMix: Ultimate Collection,The Pokémon Company,The Pokémon Company,Puzzle,10,8.7,0.00,2022,false
1000000099,Pokémon GO,Niantic,The Pokémon Company,Adventure,10,8.9,0.00,2016,false
1000000100,Pokémon Smile,GENIUS SONORITY,The Pokémon Company,Utility,10,8.2,0.00,2020,false
1000000101,Pokémon Quest,Game Freak,Nintendo,Action-Adventure,10,8.2,0.00,2018,false
1000000102,Pokémon Rumble Rush,Ambrella,The Pokémon Company,Action,10,8.0,0.00,2019,false
1000000103,Pokémon Café Mix,Genius Sonority,The Pokémon Company,Puzzle,10,8.4,0.00,2020,false
1000000104,Pokémon Masters EX,DeNA,The Pokémon Company,Role-Playing Game,10,8.7,0.00,2019,false
1000000105,Pokémon Sleep,Select Button,The Pokémon Company,Utility,10,8.4,0.00,2022,false
1000000106,Pokémon Café ReMix: Ultimate Collection,The Pokémon Company,The Pokémon Company,Puzzle,10,8.7,0.00,2022,false
1000000107,Pokémon GO,Niantic,The Pokémon Company,Adventure,10,8.9,0.00,2016,false
1000000108,Pokémon Smile,GENIUS SONORITY,The Pokémon Company,Utility,10,8.2,0.00,2020,false
1000000109,Pokémon Quest,Game Freak,Nintendo,Action-Adventure,10,8.2,0.00,2018,false
1000000110,Pokémon Rumble Rush,Ambrella,The Pokémon Company,Action,10,8.0,0.00,2019,false
1000000111,Pokémon Café Mix,Genius Sonority,The Pokémon Company,Puzzle,10,8.4,0.00,2020,false
1000000112,Pokémon Masters EX,DeNA,The Pokémon Company,Role-Playing Game,10,8.7,0.00,2019,false
1000000113,Pokémon Sleep,Select Button,The Pokémon Company,Utility,10,8.4,0.00,2022,false
1000000114,Pokémon Café ReMix: Ultimate Collection,The Pokémon Company,The Pokémon Company,Puzzle,10,8.7,0.00,2022,false
1000000115,Pokémon GO,Niantic,The Pokémon Company,Adventure,10,8.9,0.00,2016,false
1000000116,Pokémon Smile,GENIUS SONORITY,The Pokémon Company,Utility,10,8.2,0.00,2020,false
1000000117,Pokémon Quest,Game Freak,Nintendo,Action-Adventure,10,8.2,0.00,2018,false
1000000118,Pokémon Rumble Rush,Ambrella,The Pokémon Company,Action,10,8.0,0.00,2019,false
1000000119,Pokémon Café Mix,Genius Sonority,The Pokémon Company,Puzzle,10,8.4,0.00,2020,false
1000000120,Pokémon Masters EX,DeNA,The Pokémon Company,Role-Playing Game,10,8.7,0.00,2019,false
